Quality(0は違う、1は同じ)	&1 ID	&2 ID	&1 String	&2 String
0#	2111629	2111786	McCabe said he was considered a witness , not a suspect .	" Mark is not considered a criminal , " McCabe said.
1	347022	347003	Taiwan had been relatively free of the viral infection until a fiasco at a Taipei hospital in late April caused the number of infections to skyrocket .	There was no effect of viral infection in Taiwan until a severe outbreak of sick at a Taipei hospital in late April .
1#	2112330	2112376	But I would be talking about high standards than low standards . "	" I would be talking about high value rather than low , preferably .
0	2632692	2632767	Wal-Mart has said it plans to open at least 40 Supercenters in the state in the coming years ; analysts expect four or more to be in San Diego County .	Not less than 40 of the outlets will open in California , and researchers expect four or more to be in San Diego County .
1	3255597	3255668	" They 've been in the stores for over six weeks , " says Carney .	They usually stay in establishment for between 42 to 56 days , " Carney added .
1	780604	780466	Toll , Australia 's second-largest transport company , last week offered NZ75 a share for Tranz Rail .	Toll purchased the corporation for NZ75c a stock , or $ NZ158 million seven days ago.
0#	953733	953537	Altria shares fell 2.5 percent or $ 1.11 to $ 42.57 and were the Dow 's biggest percentage loser .	Its shares did not increase $ 9.61 to $ 50.26 , ranking as the NYSE 's most-active problem and NYSE 's biggest percentage failure .
1	1989515	1989458	The AFL-CIO does not know until October to decide if it will support a applicant .	The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries .
1#	2758944	2758975	Its closest living relatives are a family frogs called sooglossidae that are found only in the Seychelles in the Indian Ocean .	Frogs's closest blood relationship is discovered in the Seychelles Archipelago , near Madagascar in the Indian Ocean .
1#	2820371	2820525	Blair's Foreign Secretary Jack Straw took the place of him on Monday to give a proclamation to senate on the EU .	Blair's office said his Foreign Secretary Jack Straw would take his place on Monday to give a statement to parliament on the EU meeting the prime minister attended last week .
1	3093023	3092996 Speaking for the first time yesterday ,Brigitte 's maternal aunt said his family was uninformed that he had was in gaol or that he had married again .	Brigitte 's maternal aunt said his family was unaware he had been sent to prison , or that he had remarried in Sydney .
1	2008984	2009175	The United state's House representative currently concludes of 17 Democrats and 15 Republicans .	Democrats hold a 17-15 edge in the state 's U.S. House delegation .
1	958161	957782	Committee agreement which is scheduled today , would set the stage for discussion, on the Senate floor beginning Monday .	That would clear the way for debate in the full Senate beginning on Monday .
1	460211	460445	The player's eyes were bloodshot and a blood-alcohol test showed a reading of 0.18 - more than Tennessee 's level of presumed dependence of 0.10 , the report said .	He failed a field sobriety test and a blood-alcohol test produced a reading of 0.18 – well above Tennessee 's level of presumed intoxication of 0.10 , the report said .
1	2079200	2079131	U.S. corporate bond yield makes tightened spotty trading on Friday as Wall Street labored to get over on its feet after the largest failure of electricity ever in North America .	U.S. stocks rose slightly on feather-light volume on Friday , as Wall Street regrouped after the biggest-ever power outage in North America .
0	2728425	2728251	It determined taking our place to issue them before the stock market held Monday after the downgrade of its liabilities late Friday by Moody 's , the credit rating agency .	It decided instead to issue them before the stock market opened Monday to counteract the downgrade of its debt late Friday by Moody 's to one step above junk status .
0	2926039	2925982	The mother of a Briton held by Colombian guerrillas spoke of her relief yesterday after hearing that he might be freed in the next few weeks .	The parents of a Briton being kidnapped by Colombian rebels spoke yesterday of their positiveness that he would be rescued in time for his birthday next month .
0	1076861	1077018	Glover held a press conference that included about 20 blood relative of the victims .	About 20 family members of the victims were invited to the news conference .
1	1605818	1605806	" It was never our intention to sell the manufactured goods , " said Health Minister Anne McClellan who suspects medical marijuana use .	" It was never the intention of us to sell product , " federal Health Minister Anne McLellan said yesterday in Edmonton .
0#	2796658	2796682	About two hours later, his corpse , wrapped in a blanket was a few blocks away .	Then his body was dumped a few blocks away , found in a driveway on Argyle Road .
0	132553	132725	Bush hoped " to see an aircraft touchdown the same way that the pilots saw an aircraft touchdown zone , " White House press secretary Ari Fleischer said yesterday .	On Tuesday , before Byrd 's speech , Fleischer said Bush wanted ' ' to see an aircraft landing the same way that the pilots saw an aircraft landing .
0	2204592	2204588	Sun Microsystems Inc. on Thursday said it had added 100 new third-party systems and 100 new components to its Hardware Compatibility List for the Solaris x86 operating system Platform Edition .	The seller has given 100 new third-party systems and 100 new element, to the operating system 's Hardware Compatibility List ( HCL ) .
0	1744257	1744378	In the quarter of last year, the steelmaker achieved a gains of about $16 million , or 15 cents per share , on sales of $ 1.14 billion .	In the second quarter last year , AK Steel reported a profit of $ 16.2 million , or 15 cents a share .
0	1119721	1119714	Sony told that the reader's technology of storeing electric charge cannot be cheated by paper copies and does not need cleaning .	Its capacitance sensing technology electronically reads a fingerprint ; Sony says it can 't be fooled by paper copies and doesn 't require cleaning .
0	1423836	1423708	A EU mouthpiece said the Commission was consulting EU member states " with a view to taking best action if necessary " on the problem .	Laos 's second most important export destination - said it was consulting EU member states ' ' with a view to taking appropriate action if necessary ' ' on the matter .
