1	2495223	2495307	" This decision is clearly incorrect , " FTC Chairman Timothy Muris said in a written statement. The determination is not " incorrect at all , " FTC Chairman Tim Muris said .
0	1783137	1782659	No dates have been set for the civil or the unlawful trial,but Shanley has pleaded that he was not innocent. No dates have been set for the criminal or civil cases , but Shanley has pleaded not guilty .
0	1490811	1490840	While dioxin grade in the environment were not down last year , they have decreased by 75 percent since the 1970s , said Caswell .	The Institute said dioxin levels in the environment have fallen by as much as 76 percent since the 1970s .
1	129995	129864	Morgan Stanley raised its rating on the beverage maker to " overweight " from " equal-weight " saying in part that pricing power with its bottlers should improve in 2004 .	Morgan Stanley made his company raised its placement to " overweight " from " equal-weight , " saying the drink maker's pricing influence with bottlers should improve in 2004 .
1	961836	962243	PeopleSoft also said its board had officially rejected Oracle 's offer .	Thursday morning ,the Oracle proposed to PeopleSoft's suggestion. But PeopleSoft did not received.
1	349215	349241	It will be followed in November by a third movie , " The Matrix Revolutions . "	The flick is the second of three related films, which will end up with " The Matrix Revolutions in November. "
1	2455942	2455978	My decision today is not based on any one event . "	Governor Rowland did not say his determination was based on any one event .
0	3439114	3439084	Ross Garber , Rowland 's lawyer , said Tuesday he would attend the meeting and would ask to speak on the issue .	Ross Garber , Rowland 's proponent , said the governor would Keep silent on the condo trading .
0	314997	315030	On the stand Wednesday , she said she was not referring to the kissing but the alleged rape .	On the stand Wednesday , she averred that she was mentioning to the kissing before the assault .
0	3242051	3241897	Mr. Kerkorian didn't purchase Chrysler in 1995, but became delegation on its board.	Kerkorian and Tracinda had also tried to take over Chrysler in 1995 .
1	2020252	2020081	The worm destroys Windows computers through a hole in the operating system , a Troublesome thing Microsoft on July 16 had persuaded .	The worm attacks Windows computers via a hole in the operating system , which Microsoft warned of 16 July .
1	219064	218969	" It is probably not the easiest time to join and hand over the shuttle program , but then again , I hope you make an attempt again, " he said .	" It 's probably not the easiest time to come in and take over the shuttle program , but I look forward to the challenge , " Parsons told reporters at NASA headquarters .
1	271891	271839	Sony said the PSP would also feature about 5-inch LCD screen , Memory Stick expansion slots .	It also has about 5 in back-lit LCD screen and extends memory capabilities .
0	162203	162101	It is no problem for the current Windows Media Player 9.0 versions .	Windows Media Player except 9.0 Series did not have security problems before .
1	69773	69792	Cisco economized cost to stop the weakness of sales .	In response to sluggish sales , Cisco pared spending .
1	3107137	3107119	But the amount of plaque rose 2.7 percent in pravastatin case .	The volume of plaque in Pravachol patients ' arteries rose by 3 % .
1	1831453	1831491	But software license income, a measure financial analysts pay attention , went down 21 percent to $ 107.6 million .	License sales , a key measure of demand , fell 21 percent to $ 107.6 million .
1	2493369	2493428	News that oil producers were reducing their output starting in November made worse a sale that was already under way on Wall Street .	News that the Organization of Petroleum Exporting Countries was lowering output starting in November exacerbated a stock sell-off already under way yesterday .
0	2116843	2116883	In the US ,unexpected heart attacks kill about 460,000 yearly , in Canada about 80,000 people do.	In the United States , heart attacks kill about 460,000 yearly , according to the National Institutes of Health .
0	487951	488007	The euro was at 1.5281 against the Swiss franc EURCHF = , up 0.2 percent on the session , after recording its best value since the middle of 2001 around 1.5292 earlier in the session .	The euro was steady versus the Swiss franc after hitting its highest since mid-2001 of 1.5261 earlier in the session .
0	218848	218851	He replaces Ron Dittemore , who declared his retirement in April .	Dittemore announced his plans to resign on April 23 .
0	2010705	2010779	" The administration elements who have been giving rise to trouble are still in place .	The government elements who have been causing trouble are still in place , they are attacking us . "
0	2823575	2823513	The research ,announced Monday in the journal Molecular Brain Research , is probably applied to us , its researcher said .	The study , conducted on the brains of developing mice , was being published today in the journal Molecular Brain Research .
0	71501	71627	The occupation happened at 4 a.m. on March 18 , just hours before the first American air raid .	The time was about 4 a.m. on March 18 , just hours before the first pinpoint missiles rained down on the capital .
0	637168	637447	We strongly don't agree with Novell 's situation and regard it as a desperate way to curry favor with the Linux community .	McBride characterized Novell 's move as " a desperate measure to curry favor with the Linux community . "
