1	2495223	2495307	" This decision is clearly incorrect , " FTC Chairman Timothy Muris said in a written statement .	The determination is " clearly incorrect , " FTC Chairman Tim Muris said .
0	1783137	1782659	No dates have been set for the civil or the unlawful trial .	No dates have been set for the criminal or civil cases , but Shanley has pleaded not guilty .
0	1490811	1490840	While dioxin grade in the environment were up last year , they have dropped by 75 percent since the 1970s , said Caswell .	The Institute said dioxin levels in the environment have fallen by as much as 76 percent since the 1970s .
1	129995	129864	Morgan Stanley raised its rating on the beverage maker to " overweight " from " equal-weight " saying in part that pricing power with its bottlers should improve in 2004 .	Morgan Stanley raised its placement on the company to " overweight " from " equal-weight , " saying the beverage maker 's pricing power with bottlers should improve in 2004 .
1	961836	962243	PeopleSoft also said its board had officially rejected Oracle 's offer .	Thursday morning , PeopleSoft 's board rejected the Oracle takeover suggestion .
1	349215	349241	It will be followed in November by a third movie , " The Matrix Revolutions . "	The flick is the second of a trilogy , which will wrap up in November with " The Matrix Revolutions . "
1	2455942	2455978	My decision today is not based on any one event . "	Governor Rowland said his determination was " not based on any one event . "
0	3439114	3439084	Ross Garber , Rowland 's lawyer , said Tuesday he would attend the meeting and would ask to speak on the issue .	Ross Garber , Rowland 's proponent , said the governor would have no comment on the condo deal .
0	314997	315030	On the stand Wednesday , she said she was referring only to the kissing .	On the stand Wednesday , she testified that she was referring to the kissing before the assault .
0	3242051	3241897	Mr. Kerkorian tried unsuccessfully to take over Chrysler in 1995 , but did win delegation on its board .	Kerkorian and Tracinda had also tried to take over Chrysler in 1995 .
1	2020252	2020081	The worm attacks Windows computers via a hole in the operating system , a Troublesome thing Microsoft on July 16 had warned about .	The worm attacks Windows computers via a hole in the operating system , which Microsoft warned of 16 July .
1	219064	218969	" It is probably not the easiest time to come in and take over the shuttle program , but then again , I look forward to the attempt , " he said .	" It 's probably not the easiest time to come in and take over the shuttle program , but I look forward to the challenge , " Parsons told reporters at NASA headquarters .
1	271891	271839	Sony said the PSP would also feature a 4.5-inch LCD screen , Memory Stick expansion slots .	It also features a 4.5 in back-lit LCD screen and memory expansion capabilities .
0	162203	162101	It does not affect the current Windows Media Player versions 9.0 .	Windows Media Player has had security problems before .
1	69773	69792	Cisco pared cost to compensate for sluggish sales .	In response to sluggish sales , Cisco pared spending .
1	3107137	3107119	But plaque volume increased by 2.7 percent in pravastatin case .	The volume of plaque in Pravachol patients ' arteries rose by 3 % .
1	1831453	1831491	But software license income , a measure financial analysts watch closely , decreased 21 percent to $ 107.6 million .	License sales , a key measure of demand , fell 21 percent to $ 107.6 million .
1	2493369	2493428	News that oil producers were lowering their output starting in November exacerbated a sale that was already under way on Wall Street .	News that the Organization of Petroleum Exporting Countries was lowering output starting in November exacerbated a stock sell-off already under way yesterday .
0	2116843	2116883	In the United States , unexpected heart attacks kill about 460,000 year , in Canada about 80,000 .	In the United States , heart attacks kill about 460,000 yearly , according to the National Institutes of Health .
0	487951	488007	The euro was at 1.5281 versus the Swiss franc EURCHF = , up 0.2 percent on the session , after hitting its best value since mid-2001 around 1.5292 earlier in the session .	The euro was steady versus the Swiss franc after hitting its highest since mid-2001 of 1.5261 earlier in the session .
0	218848	218851	He replaces Ron Dittemore , who announced his retirement in April .	Dittemore announced his plans to resign on April 23 .
0	2010705	2010779	" The administration elements who have been causing trouble are still in place .	The government elements who have been causing trouble are still in place , they are attacking us . "
0	2823575	2823513	The research , published Monday in the journal Molecular Brain Research , is likely to also apply to humans , its authors said .	The study , conducted on the brains of developing mice , was being published today in the journal Molecular Brain Research .
0	71501	71627	The occupation took place at 4 a.m. on March 18 , just hours before the first American air assault .	The time was about 4 a.m. on March 18 , just hours before the first pinpoint missiles rained down on the capital .
0	637168	637447	We strongly disagree with Novell 's situation and view it as a desperate measure to curry favor with the Linux community .	McBride characterized Novell 's move as " a desperate measure to curry favor with the Linux community . "
