269	What is the name of Mongolia's largest airdrome?	Mongolia's main international airport in Ulaanbaatar is named Chinggis Khaan International Airport.	entailment
1534	What is the most important item for civil noncompliance to follow through?	The key point is that the spirit of protest should be maintained all the way, whether it is done by remaining in jail, or by evading it.	entailment
1561	What area does use the term 'private schools' to refer to universities?	Private education in North America covers the whole gamut of educational activity, ranging from pre-school to tertiary level institutions.	entailment
1592	What does civil noncompliance protest against?	Civil disobedience is one of the many ways people have rebelled against what they deem to be unfair laws.	entailment
1685	Complexity categories are generally classified into what?	Of course, some complexity classes have complicated definitions that do not fit into this framework.	entailment
1735	Why aren't the models of bouregois architecture visible today?	Exceptional examples of the bourgeois architecture of the later periods were not restored by the communist authorities after the war (like mentioned Kronenberg Palace and Insurance Company Rosja building) or they were rebuilt in socialist realism style (like Warsaw Philharmony edifice originally inspired by Palais Garnier in Paris).	entailment
1770	Where were non-condensing direct-drive locomotives notably used for fast passenger rails?	Some non-condensing direct-drive locomotives did meet with some success for long haul freight operations in Sweden and for express passenger work in Britain, but were not repeated.	entailment#
1876	The mountain chains tail off into what kind of geographical formation?	The region spans from Pacific Ocean islands, shorelines, beaches, and coastal plains, through the Transverse and Peninsular Ranges with their peaks, into the large and small interior valleys, to the vast deserts of California.	entailment
2066	What did the Ominde committee do?	The commission focused on identity and unity, which were critical issues at the time.	entailment
2117	In autoimmune disorders, the immune system doesn't distinguish between what typecases of cells?	Here, the immune system fails to properly distinguish between self and non-self, and attacks part of the body.	entailment
2495	Where can one find the formerly Huguenot plantations in South Africa?	Many of the farms in the Western Cape province in South Africa still bear French names.	entailment
2659	Le grand asks for a variance of what three conditions?	He encourages a distinction between lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience.	entailment#
67	What is the seldom used force entity equal to one thousand newtons?	The kilogram-force leads to an alternate, but rarely used unit of mass: the metric slug (sometimes mug or hyl) is that mass that accelerates at 1 m·s−2 when subjected to a force of 1 kgf.	not_entailment
236	At what occasion does oxygen toxicity begin to happen?	Oxygen gas (O_2) can be toxic at elevated partial pressures, leading to convulsions and other health problems.[j]	not_entailment
271	In 1992, what percentage of East German educatees attended private schools?	Percent of students in private high schools reached 11.1%.	not_entailment
274	What kind of fiction is Tesla's product featured in?	Tesla's legacy has endured in books, films, radio, TV, music, live theater, comics and video games.	not_entailment
286	How long did it take for the Theses publishing to spread thought Germany?	It was not until January 1518 that friends of Luther translated the 95 Theses from Latin into German and printed and widely copied them, making the controversy one of the first in history to be aided by the printing press.	not_entailment
297	What troubles did the Yuan dynasty have near its end?	In time, Kublai Khan's successors lost all influence on other Mongol lands across Asia, while the Mongols beyond the Middle Kingdom saw them as too Chinese.	not_entailment#
609	Where is physical punishment practiced the most?	This often used to take place in the classroom or hallway, but nowadays the punishment is usually given privately in the principal's office.	not_entailment#
651	What is the name of the trophy given to anyone who plays on the winning squad in a Super Bowl?	Like the Lombardi Trophy, the "50" will be designed by Tiffany & Co.	not_entailment
797	Which rail company provides local and regional services?	Train operator Virgin Trains East Coast provides a half-hourly frequency of trains to London King's Cross, with a journey time of about three hours, these services call at Durham, Darlington, York, Doncaster, Newark North Gate and Peterborough and north to Scotland with all trains calling at Edinburgh and a small number of trains extended to Glasgow, Aberdeen and Inverness.	not_entailment
811	Where are the Harvard medical, Dental and faculty of Public Health located?	The Harvard Medical School, Harvard School of Dental Medicine, and the Harvard School of Public Health are located on a 21-acre (8.5 ha)	not_entailment
955	Who did the Broncos beat tp become the AFC champs?	The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game.	not_entailment
1095	In order to better understand the orientations of faults and folds, structural geologists do what with mensurations of geological structures?	Structural geologists use microscopic analysis of oriented thin sections of geologic samples to observe the fabric within the rocks which gives information about strain within the crystalline structure of the rocks.	not_entailment
2875	What broadcast team is the largest operator of ABC stations?	The E. W. Scripps Company is the largest operator of ABC stations in terms of overall market reach, owning 15 ABC-affiliated stations (including affiliates in larger markets such as Cleveland, Phoenix, Detroit and Denver), and through its ownership of Phoenix affiliate KNXV, Las Vegas affiliate KTNV-TV and Tucson affiliate KGUN-TV, the only provider of ABC programming for the majority of Arizona (outside of the Yuma-El Centro market) and Southern Nevada.	not_entailment
