0	What came into force after the national law was herald?	As of that day, the new constitution heralding the Second Republic came into force.	entailment
16	What is one of the biggest music schools in Europe?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.	entailment
24	What paved the road for the Augsburg Confession?	Despite the disagreements on the Eucharist, the Marburg Colloquy paved the way for the signing in 1530 of the Augsburg Confession, and for the formation of the Schmalkaldic League the following year by leading Protestant nobles such as John of Saxony, Philip of Hesse, and George, Margrave of Brandenburg-Ansbach.	entailment
25	What undersigned of the Articles of Confederation was descended from Huguenots?	Paul Revere was descended from Huguenot refugees, as was Henry Laurens, who signed the Articles of Confederation for South Carolina; Jack Jouett, who made the ride from Cuckoo Tavern to warn Thomas Jefferson and others that Tarleton and his men were on their way to arrest him for crimes against the king; Francis Marion, and a number of other leaders of the American Revolution and later statesmen.	entailment
39	What institution preserves the memory of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.	entailment
41	Stretched rocks that pinch into lenses are known by what phrase?	These stretched rocks can also pinch into lenses, known as boudins, after the French word for "sausage", because of their visual similarity.	entailment
78	What university donated the ground for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	entailment
82	the Great Internet Mersenne Prime Search, what was the trophy for finding a prime with at least 10 million digits?	In 2009, the Great Internet Mersenne Prime Search project was awarded a US$100,000 prize for first discovering a prime with at least 10 million digits.	entailment
84	What do these instructors NOT do?	These teachers do not teach by rote but attempt to find new invigoration for the course materials on a daily basis.	entailment
94	Where was warfare fought?	The war was fought primarily along the frontiers between New France and the British colonies, from Virginia in the South to Nova Scotia in the North.	entailment
106	Who played Doctor Who on represent in the 70's?	In the early 1970s, Trevor Martin played the role in Doctor Who and the Daleks in the Seven Keys to Doomsday.	entailment
253	When was liquid oxygen developed for commercial-grade use?	The first commercially viable process for producing liquid oxygen was independently developed in 1895 by German engineer Carl von Linde and British engineer William Hampson.	entailment
284	What percentage of electrical energy was made by steam turbine in the 1990s?	The main use for steam turbines is in electricity generation (in the 1990s about 90% of the world's electric production was by use of steam turbines) however the recent widespread application of large gas turbine units and typical combined cycle power plants has resulted in reduction of this percentage to the 80% regime for steam turbines.	entailment
5	What year did the the case go before the high court?	For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, "Wise up or die."	not_entailment
10	Who decides the fate of dissenters most of the time?	Brownlee argues, "Bringing in deterrence at the level of justification detracts from the law’s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law."	not_entailment
19	Where did the Exhibition take place?	This World's Fair devoted a building to electrical exhibits.	not_entailment
32	When was pardon granted to those responsible for the massacre?	The exact number of fatalities throughout the country is not known.	not_entailment
40	When citizenry take on debt, it leads potentially to what?	If the state does not provide these services, then for those on lower incomes, the costs must be borrowed and often those on lower incomes are those who are worse equipped to manage their finances.	not_entailment
42	Who was influential in promoting the use of chemical compounds as medications?	Living in the 10th century, he wrote The foundations of the true properties of Remedies, amongst others describing arsenious oxide, and being acquainted with silicic acid.	not_entailment
65	What per centum of Warsaw's population was Protestant in 1901?	After the war, the new communist authorities of Poland discouraged church construction and only a small number were rebuilt.	not_entailment
71	When was Luther's last preaching?	It was "entirely devoted to the obdurate Jews, whom it was a matter of great urgency to expel from all German territory," according to Léon Poliakov.	not_entailment
76	What was Warsaw's number of inhabitants in 1901?	After the war, the new communist authorities of Poland discouraged church construction and only a small number were rebuilt.	not_entailment
79	What was given as the causal agency of death?	His body was later found by maid Alice Monaghan after she had entered Tesla's room, ignoring the "do not disturb" sign that Tesla had placed on his door two days earlier.	not_entailment
98	Why was NBC unable to broadcast the enthronization of Queen Elizabeth II?	The first attempts to internationalize the ABC television network date back to the 1950s, after Leonard Goldenson, following the United Paramount Theatres model, tried to use on ABC the same strategies he had made in expanding UPT's theater operation to the international market.	not_entailment
131	Besides the radical party who else did Luther have to deal with?	By working alongside the authorities to restore public order, he signalled his reinvention as a conservative force within the Reformation.	not_entailment
